,var_assetsavg,var_assetturnover,var_bvps,var_cor,var_de,var_debtc,var_debtusd,var_divyield,var_ebit,var_ebitda,var_ebitdamargin,var_ev,var_grossmargin,var_invcapavg,var_investments,var_liabilities,var_liabilitiesnc,var_netmargin,var_opex,var_payoutratio,var_rnd,var_roe,var_roic,var_ros,var_shareswa,var_taxexp,var_tbvps,var_workingcapital
621,1.1743232e-16,2.2391632,1.3921241e-06,2.0430227e-16,2.4217914e-05,0.0,2.510077e-12,0.0,7.262798e-16,1.1641188e-15,5.3127796e-06,2.732086e-12,1.5469815,1.2114656e-16,3.2201657e-16,1.4670601e-16,5.5496736e-16,9.368214e-07,9.2010716e-15,0.0,3.480749e-12,0.0018874885,6.913753e-05,1.4490498e-06,4.911948e-11,2.681874e-15,6.253724e-07,3.9205665e-15
623,5.886159e-17,0.62027395,5.4836266e-07,3.7436292e-17,3.621895e-05,1.998962e-16,8.4689384e-13,0.0,1.1191774e-16,1.05400743e-16,3.4668137e-06,7.1765895e-13,0.6249982,4.4205293e-17,2.0791261e-16,9.2731076e-17,9.158034e-17,-1.7844218e-07,4.4426963e-16,0.0,1.5698497e-13,-0.00013017164,2.8608636e-05,1.5848982e-06,5.2694005e-11,1.3886959e-15,3.0469675e-07,6.560784e-16
624,5.351069e-17,6.197592,2.2105562e-06,3.29323e-16,6.9416055e-05,6.172491e-17,8.4630295e-13,1.0272367,6.3072847e-16,4.647967e-16,1.6658717e-06,4.6975726e-13,0.74911135,4.2742163e-17,1.0426198e-16,1.02367174e-16,1.978774e-16,2.6766324e-07,5.235359e-15,0.1872213,0.0,0.0025383467,0.0001716518,9.962217e-07,7.527118e-12,6.4362214e-15,1.9224817e-06,1.163825e-15
626,1.5415587e-16,1.5545454,4.3601467e-06,1.7358463e-16,7.9863e-06,2.088353e-18,4.8288413e-13,0.0,3.907278e-15,2.0557828e-15,1.0310395e-05,6.2312716e-12,1.7464489,1.00308064e-16,0.0,7.804901e-17,2.1115306e-16,6.6915813e-06,4.3191743e-15,0.0,0.0,0.0074197827,0.00045297007,8.467885e-06,2.534394e-11,1.4440382e-14,1.096294e-06,5.4075193e-15
628,1.4085565e-18,0.7489615,6.1996445e-07,1.5452371e-18,4.4939126e-05,4.5657566e-18,1.1959807e-14,0.0,-2.8180217e-16,-1.1193548e-16,-0.00012759677,2.961312e-14,-1.0017701,4.1001241e-19,1.8001206e-18,1.7456166e-18,2.0479027e-19,-0.00014003248,3.3339214e-16,0.0,9.142073e-14,-0.15796328,-0.007986577,-0.00013865595,7.067917e-13,1.3820532e-18,5.3725057e-07,6.0023627e-17
629,5.292743e-16,1.1118604,5.1620214e-06,3.5190974e-16,5.102598e-05,1.6065604e-15,1.4263935e-11,1.2140071,7.183649e-15,3.6425153e-15,7.428887e-06,9.0741486e-12,2.211873,2.693246e-16,3.782753e-18,1.0026305e-15,3.965073e-15,4.10417e-06,2.2668718e-14,0.17811324,1.3213233e-12,0.005532294,0.00030992687,6.339593e-06,4.2932723e-11,1.6870723e-14,1.435179e-06,7.706623e-15
631,4.3157847e-18,3.82202,1.3903697e-07,1.0118429e-17,4.774512e-05,2.9827223e-18,1.5566556e-14,0.0,-1.7437384e-16,-6.059233e-17,-4.4123085e-06,1.9080056e-14,2.1542492,4.2259861e-19,0.0,6.4643255e-18,3.9862665e-18,-5.5763176e-06,1.0755665e-15,0.0,1.4233599e-13,-0.024472265,-0.0047943303,-5.4792195e-06,1.0987581e-11,3.5242354e-17,6.464705e-08,4.7144597e-17
632,9.595054e-17,3.0112884,3.1842535e-07,2.5964548e-16,0.0001317092,3.756352e-17,2.6065961e-12,0.0,3.1255127e-16,4.1774598e-16,1.7559187e-06,9.476623e-13,1.0992876,4.684457e-17,0.0,2.405625e-16,9.332245e-16,-4.9071593e-07,7.270669e-15,0.0,0.0,-0.0029939474,7.867375e-05,5.433937e-07,6.4718515e-11,4.837186e-16,2.1525858e-07,1.7564699e-15
633,1.1917401e-15,1.0011891,4.0030145e-06,9.293018e-16,6.462428e-05,2.658111e-16,3.5012764e-11,2.1478586,1.8989603e-14,1.093346e-14,1.1030771e-05,1.686101e-11,1.5425488,1.1266027e-15,1.3592661e-15,2.5344454e-15,1.0985301e-14,6.468528e-06,2.136713e-14,0.15736708,1.2245842e-12,0.008526241,0.00019549235,8.241471e-06,1.1052819e-10,4.7742334e-14,2.7344456e-06,1.2594426e-14
634,2.3716428e-16,1.415563,1.2880656e-06,2.2414294e-16,4.2780666e-05,3.7339928e-16,5.6944614e-12,0.0,2.4706433e-15,1.8804955e-15,6.753534e-06,2.3459607e-12,1.9547817,1.8399415e-16,0.0,3.8360788e-16,1.1389673e-15,1.159874e-06,1.3607693e-14,0.0,5.5037957e-13,0.0018224028,0.00015496343,3.8037556e-06,7.8557036e-11,8.015908e-15,5.76814e-07,4.3859396e-15
636,5.933526e-17,7.6002865,1.9123064e-07,4.0464588e-16,7.027944e-05,0.0,4.4254604e-13,2.4280143,3.6500035e-15,2.0683024e-15,5.5378973e-06,1.3979732e-12,1.1037202,3.5827154e-17,9.5781414e-17,1.1951734e-16,9.525129e-17,2.5874112e-06,7.891653e-15,0.13459693,6.4542826e-13,0.03182696,0.0011848743,4.211301e-06,1.0036849e-10,2.9029334e-14,1.5916775e-07,-2.4980614e-16
641,8.593806e-17,4.5400968,1.458024e-06,4.0075283e-16,3.1599844e-05,1.4257592e-16,6.442696e-13,2.2412438,1.3252173e-16,3.5628493e-16,1.0805653e-06,6.06218e-13,0.6205656,6.263563e-17,3.1454605e-17,1.210687e-16,1.5676933e-16,-2.230527e-07,5.181583e-15,-0.86020595,0.0,-0.0009112014,2.384053e-05,1.8113123e-07,2.9643576e-11,4.5089482e-15,8.4220335e-07,3.9202785e-15
642,1.8513879e-15,2.663832,1.2666837e-06,4.0359998e-15,6.842316e-05,2.603957e-15,7.268321e-11,1.774318,4.6671346e-14,2.7246746e-14,6.6634866e-06,4.183741e-11,1.3962725,1.8246134e-15,2.4426634e-15,4.2860807e-15,1.5706224e-14,3.0781273e-06,1.152537e-13,0.13459693,0.0,0.011390017,0.00029800663,4.9358255e-06,5.5803956e-10,1.8837384e-13,9.408559e-07,3.2689712e-14
643,1.2015948e-18,5.150075,7.840018e-08,4.57198e-18,0.00018221715,1.3597525e-17,3.3772193e-14,0.0,-6.5882176e-17,-2.214419e-17,-4.3222612e-06,3.485931e-14,1.688825,6.831777e-19,0.0,2.8114717e-18,2.819676e-20,-6.0224233e-06,3.3557045e-16,0.0,6.7649465e-14,-0.10491833,-0.0011205049,-5.5245023e-06,2.2199844e-12,0.0,1.3163425e-07,8.943835e-18
644,7.918457e-18,7.662056,7.149219e-07,6.7869064e-17,1.437534e-05,2.4160498e-19,1.4943674e-15,4.9494133,1.9931171e-16,9.991776e-17,1.9810363e-06,6.554066e-14,0.27925453,6.113099e-18,0.0,6.364441e-18,1.7050933e-18,1.1152636e-06,1.7126873e-16,0.23377362,0.0,0.0065736673,0.0003790644,1.7207466e-06,6.9838853e-12,1.5609363e-15,3.178236e-07,3.563724e-16
645,1.05432467e-19,1.5982993,-7.7194024e-08,3.8653346e-21,-6.009151e-05,1.5348142e-18,3.797233e-15,0.0,6.3309135e-17,2.7925627e-17,0.00019940932,4.5114114e-15,4.348392,-6.459988e-20,1.0000669e-18,9.046983e-19,2.083622e-18,0.00019222683,3.1198778e-17,0.0,2.415548e-15,-0.08604345,-0.011388621,0.0001951236,2.2004232e-12,0.0,9.068137e-09,-1.4255298e-17
