,0
202,4.0039083160081645e-12
203,4.000355602329364e-12
204,4.0039083160081645e-12
205,3.9968028886505635e-12
206,4.000355602329364e-12
208,4.007461029686965e-12
209,4.000355602329364e-12
210,4.007461029686965e-12
211,4.000355602329364e-12
213,4.000355602329364e-12
215,4.000355602329364e-12
217,3.993250174971763e-12
218,4.000355602329364e-12
220,4.000355602329364e-12
221,4.007461029686965e-12
223,4.000355602329364e-12
224,4.000355602329364e-12
225,4.0039083160081645e-12
226,4.000355602329364e-12
227,3.993250174971763e-12
228,3.993250174971763e-12
229,4.000355602329364e-12
230,4.000355602329364e-12
232,4.000355602329364e-12
233,4.000355602329364e-12
235,4.000355602329364e-12
236,4.000355602329364e-12
237,4.000355602329364e-12
238,4.000355602329364e-12
240,4.000355602329364e-12
241,3.993250174971763e-12
242,4.0039083160081645e-12
244,4.000355602329364e-12
245,4.000355602329364e-12
247,4.000355602329364e-12
248,4.000355602329364e-12
254,4.000355602329364e-12
257,4.000355602329364e-12
258,4.000355602329364e-12
259,4.000355602329364e-12
261,4.000355602329364e-12
262,4.000355602329364e-12
263,4.0039083160081645e-12
266,4.000355602329364e-12
267,3.9968028886505635e-12
268,3.9968028886505635e-12
270,4.007461029686965e-12
273,4.000355602329364e-12
274,4.000355602329364e-12
275,3.993250174971763e-12
276,4.000355602329364e-12
277,4.000355602329364e-12
278,4.007461029686965e-12
279,4.000355602329364e-12
280,4.000355602329364e-12
281,3.993250174971763e-12
282,4.000355602329364e-12
284,4.000355602329364e-12
285,4.0039083160081645e-12
286,3.993250174971763e-12
288,4.000355602329364e-12
289,4.000355602329364e-12
290,4.000355602329364e-12
291,4.000355602329364e-12
292,4.000355602329364e-12
293,4.000355602329364e-12
295,3.993250174971763e-12
296,3.993250174971763e-12
297,4.000355602329364e-12
298,4.000355602329364e-12
300,4.000355602329364e-12
301,4.000355602329364e-12
302,4.000355602329364e-12
303,4.000355602329364e-12
304,3.993250174971763e-12
305,3.993250174971763e-12
306,4.000355602329364e-12
307,4.000355602329364e-12
308,4.000355602329364e-12
309,4.000355602329364e-12
311,4.007461029686965e-12
312,4.000355602329364e-12
314,3.993250174971763e-12
315,4.000355602329364e-12
317,3.9968028886505635e-12
319,4.0039083160081645e-12
320,4.000355602329364e-12
322,4.000355602329364e-12
323,4.007461029686965e-12
324,4.000355602329364e-12
325,4.000355602329364e-12
326,4.000355602329364e-12
327,3.993250174971763e-12
328,4.000355602329364e-12
329,4.0039083160081645e-12
330,4.000355602329364e-12
331,4.000355602329364e-12
333,3.9968028886505635e-12
334,4.000355602329364e-12
338,4.0039083160081645e-12
340,4.000355602329364e-12
341,4.000355602329364e-12
344,4.000355602329364e-12
346,4.000355602329364e-12
347,4.000355602329364e-12
348,3.993250174971763e-12
349,4.000355602329364e-12
350,4.000355602329364e-12
352,4.007461029686965e-12
354,4.000355602329364e-12
355,4.0039083160081645e-12
357,4.000355602329364e-12
358,4.000355602329364e-12
359,4.000355602329364e-12
361,4.0039083160081645e-12
362,3.993250174971763e-12
363,4.000355602329364e-12
364,3.993250174971763e-12
366,3.9968028886505635e-12
367,4.000355602329364e-12
369,4.007461029686965e-12
370,4.000355602329364e-12
371,4.000355602329364e-12
372,4.000355602329364e-12
373,4.000355602329364e-12
374,4.000355602329364e-12
376,4.000355602329364e-12
377,4.000355602329364e-12
379,4.000355602329364e-12
380,4.000355602329364e-12
382,4.007461029686965e-12
383,3.993250174971763e-12
384,3.950617610826157e-12
385,4.000355602329364e-12
389,4.000355602329364e-12
390,4.007461029686965e-12
391,4.000355602329364e-12
394,4.0039083160081645e-12
396,4.000355602329364e-12
398,4.000355602329364e-12
399,4.000355602329364e-12
400,4.000355602329364e-12
403,4.000355602329364e-12
404,4.000355602329364e-12
406,4.000355602329364e-12
407,4.000355602329364e-12
408,3.9968028886505635e-12
410,4.000355602329364e-12
412,4.000355602329364e-12
413,4.000355602329364e-12
414,4.000355602329364e-12
415,4.000355602329364e-12
419,4.007461029686965e-12
420,4.000355602329364e-12
422,4.000355602329364e-12
423,4.000355602329364e-12
424,4.007461029686965e-12
425,3.993250174971763e-12
426,4.007461029686965e-12
427,3.9968028886505635e-12
428,4.000355602329364e-12
429,4.000355602329364e-12
430,3.993250174971763e-12
431,4.000355602329364e-12
432,4.000355602329364e-12
433,4.000355602329364e-12
437,4.000355602329364e-12
438,4.000355602329364e-12
440,4.007461029686965e-12
441,4.000355602329364e-12
443,4.000355602329364e-12
444,4.000355602329364e-12
445,4.000355602329364e-12
446,4.000355602329364e-12
447,3.9968028886505635e-12
449,4.007461029686965e-12
450,4.000355602329364e-12
451,3.993250174971763e-12
454,4.000355602329364e-12
455,4.000355602329364e-12
456,4.000355602329364e-12
457,4.000355602329364e-12
458,3.993250174971763e-12
460,4.000355602329364e-12
461,4.007461029686965e-12
462,4.000355602329364e-12
464,4.000355602329364e-12
465,4.000355602329364e-12
467,4.000355602329364e-12
468,4.000355602329364e-12
470,4.007461029686965e-12
471,4.000355602329364e-12
472,4.007461029686965e-12
476,4.000355602329364e-12
477,4.000355602329364e-12
478,4.000355602329364e-12
480,3.9968028886505635e-12
481,4.000355602329364e-12
482,4.000355602329364e-12
485,4.000355602329364e-12
488,4.000355602329364e-12
491,4.000355602329364e-12
492,3.993250174971763e-12
493,4.000355602329364e-12
494,4.000355602329364e-12
495,4.007461029686965e-12
496,3.9968028886505635e-12
498,4.000355602329364e-12
499,4.000355602329364e-12
500,4.000355602329364e-12
501,4.000355602329364e-12
502,4.000355602329364e-12
503,3.993250174971763e-12
504,4.000355602329364e-12
506,4.000355602329364e-12
507,4.000355602329364e-12
508,4.000355602329364e-12
509,4.000355602329364e-12
513,4.0039083160081645e-12
514,4.000355602329364e-12
515,4.000355602329364e-12
516,4.000355602329364e-12
518,4.000355602329364e-12
519,4.000355602329364e-12
520,4.007461029686965e-12
523,3.9968028886505635e-12
525,4.000355602329364e-12
526,3.9968028886505635e-12
527,4.000355602329364e-12
529,4.000355602329364e-12
532,4.000355602329364e-12
536,4.000355602329364e-12
537,4.000355602329364e-12
538,4.000355602329364e-12
539,4.000355602329364e-12
542,4.000355602329364e-12
543,4.000355602329364e-12
545,4.007461029686965e-12
546,4.000355602329364e-12
548,4.000355602329364e-12
549,4.000355602329364e-12
550,4.007461029686965e-12
551,4.000355602329364e-12
552,4.007461029686965e-12
553,4.000355602329364e-12
554,4.000355602329364e-12
555,4.000355602329364e-12
556,4.000355602329364e-12
557,4.000355602329364e-12
558,4.000355602329364e-12
559,4.007461029686965e-12
560,4.000355602329364e-12
561,4.000355602329364e-12
562,4.0039083160081645e-12
563,4.0039083160081645e-12
564,4.000355602329364e-12
565,3.9968028886505635e-12
566,4.000355602329364e-12
567,4.000355602329364e-12
568,4.000355602329364e-12
569,4.000355602329364e-12
571,4.000355602329364e-12
573,4.000355602329364e-12
574,4.000355602329364e-12
575,4.007461029686965e-12
580,4.000355602329364e-12
581,4.007461029686965e-12
582,4.000355602329364e-12
583,4.000355602329364e-12
584,4.000355602329364e-12
586,4.007461029686965e-12
587,4.000355602329364e-12
588,3.993250174971763e-12
589,4.000355602329364e-12
590,3.993250174971763e-12
591,4.000355602329364e-12
593,4.000355602329364e-12
594,4.0039083160081645e-12
595,4.000355602329364e-12
596,4.000355602329364e-12
597,3.9968028886505635e-12
598,4.000355602329364e-12
599,4.000355602329364e-12
601,4.000355602329364e-12
602,4.000355602329364e-12
603,4.000355602329364e-12
605,4.0039083160081645e-12
606,3.993250174971763e-12
607,4.000355602329364e-12
608,4.000355602329364e-12
609,4.000355602329364e-12
610,4.000355602329364e-12
612,4.0039083160081645e-12
613,3.9968028886505635e-12
614,4.0039083160081645e-12
617,4.007461029686965e-12
619,4.000355602329364e-12
622,4.000355602329364e-12
623,4.000355602329364e-12
624,4.000355602329364e-12
627,4.000355602329364e-12
628,4.000355602329364e-12
632,4.000355602329364e-12
